prompt,model_answer,is_hallucination
Когда был спущен на воду первый миноносец «Спокойный»?,"Зачислен в списки ВМФ СССР 19 августа 1952 года. Официальная закладка (при 33 % готовности корпуса) была произведена на заводе № 190 им. А. А. Жданова 4 марта 1953 года (строительный № 701), спущен на воду 28 ноября 1953 года. Испытания корабля были начаты 26 апреля 1954 года на Балтике, испытания артиллерии велись с 8 августа по 8 сентября и с 3 по 16 декабря 1955 года. Корабль принят флотом 27 июня 1956 года, 9 октября 1957 года эсминец вступил в состав Советского Военно-Морского Флота[1].",False
Когда был спущен на воду первый миноносец «Спокойный»?,"«Пергамос» — греческий миноносец. Бывший австрийский миноносец ‘95-F’.
Построен на верфи фирмы ‘ Ganz — DanubiusCo’в Фиуме.
Принадлежит большой серии австрийских миноносцев типа () построенных в Фиуме и типа () построенных в Монфальконе.
Один из 6 судов этих типов предоставленных Грециив 1922 году, в качестве репараций после окончания Первой мировой войны и раздела австрийского флота. Все греческие суда этих типов получили имена древних греческих городов Малой Азии, оставленных греческой армией в том же 1922 году: 'Пергамос'(Пергам), ‘Пруса’ (Бурса), ‘Панормос’ (Бандырма),Киос' (Гемлик), ‘Кидониэ(Айвалык), ‘Кизикос(Кизик (город))
Спущен на воду в 1913 году.
После передачи греческому флоту, в 1926 году был произведен капитальный ремонт судна плавмастерскими ГЕФЕСТ (греч.ΗΦΑΙΣΤΟΣ).
Принял участие в морских операциях греко-итальянской войны 1940—1941 годов.
Во время вступления в войну Германии, пришедшей на помощь итальянцам, миноносец находился на ремонте на базе флота на острове Саламин.
25 апреля 1941 года, за 2 дня до вступления немецкой армии в Афины и не имея возможности следовать за другими кораблями флота к острову Крит и на временную базу флота в Александирию, Египет миноносец был потоплен по приказу командования ВМФ.",True
"Как долго существовало британское телевизионное игровое шоу ""Хрустальный лабиринт""?","Хрустальный лабиринт (The Crystal Maze) — британское телевизионное игровое шоу производства Chatsworth Television, транслируемое на канале «Channel 4» с 15 февраля 1990 по 10 августа 1995 года. В год выходило по одному сезону, первые четыре сезона ведущим был Ричард О’Брайен, а последние два — Эд Тьюдор-Пол. Продолжительность каждого эпизода составляла один час, включая рекламу. Повторы эпизодов часто показывали на каналах цифрового телевидения, наиболее часто на «Ftn» и «Challenge» в январе 2007 года. В России шоу транслировалось на канале ТНТ (1998–1999 по субботам в 12:30, позже в 10:00).",False
"Как долго существовало британское телевизионное игровое шоу ""Хрустальный лабиринт""?","В 1991 году по мотивам шоу была сделана настольная игра «Хрустальный лабиринт» (автор Дэвид Скуи, издатель Милтон Брэдли), но в основе концепции лежит конкуренция между игроками, в отличие от кооперативного стиля в телевизионной программе.",True
Когда родилась Князева Марина Леонидовна?,"Князева Марина Леонидовна (род. 7 мая 1952 г.) — поэт, культуролог, художник-график, детский писатель, старший научный сотрудник кафедры периодической печати факультета журналистики МГУ имени М. В. Ломоносова, кандидат филологических наук.",False
Когда родилась Князева Марина Леонидовна?,В 2009 году М. Л. Князева стала членом Творческого союза профессиональных художников России (ТСПХ).,True
Кто был главным художником мира Зен?,"В книге Half-Life 2: Raising the Bar художник игр серии Half-Life Тед Бэкман рассказывает, что образ хаундая появился под впечатлением от большого трёхногого кота по кличке Треножник (English: Tripod), жившего с ним по соседству, когда Тед был ребёнком. Концепт хаундая был придуман очень быстро и почти не претерпел изменений к окончательной версии существа в оригинальной Half-Life. При бета-тестировании Half-Life хаундаи были нейтральными по отношении к игроку, но поскольку все тестеры во время игры всё равно убивали их, разработчики сделали хаундаев одними из противников[13]. В книге Raising the Bar также говорится, что хаундаи должны были появиться и в Half-Life 2, но были вырезаны из финальной версии этой игры[14].",False
Кто был главным художником мира Зен?,"В конце игры выясняется, что мир, в котором они все оказались, был создан Зен, которая на самом деле является частью Хроноса. 12 лет назад он сопровождал душу погибшей девочки Нико, но не смог закончить своё дело, заинтересовавшись её чувствами. Для того, чтобы узнать о Нико как можно больше, Хронос создал мир, а после не смог умиротворить её душу и для спасения девочки стёр свои и её воспоминания, заодно дав себе и ей новые имена. Главные герои восстанавливают память Зена и Рэй, но случайно пробуждают ту часть Хроноса, которая желает исполнить свой долг. Герои побеждают Хроноса, чем позволяют душам Рэй и Зена упокоиться с миром.",True
Как звали предполагаемого убийцу Джона Кеннеди?,"Убийство в течение десяти месяцев расследовала специально созванная комиссия во главе с председателем Верховного суда США Эрлом Уорреном («Комиссия Уоррена»), которая пришла к заключению, что убийство было совершено преступником-одиночкой Ли Харви Освальдом. Существует ряд конспирологических теорий, подвергающих сомнению выводы комиссии Уоррена и представляющих альтернативные версии убийства, в том числе заговор американских или советских спецслужб, однако ни одна из них не была доказана. Социологические опросы показывают, что подавляющее большинство американцев (свыше 70 %) не верит в официальную версию убийства[1][2].",False
Как звали предполагаемого убийцу Джона Кеннеди?,"По версии Комитета, Освальд выпустил три пули. Первым выстрелом он промахнулся, а второй и третий достигли цели (третий оказался смертельным). Члены Комитета согласились с тем, что одна и та же пуля ранила Кеннеди и губернатора Конналли. Выводы Комитета разошлись с выводами комиссии Уоррена в вопросе о том, был ли Освальд убийцей-одиночкой. На основании аудиозаписи, сделанной с установленной на мотоцикле сопровождения радиостанции, и заключения изучавших её экспертов по акустике, Комитет пришёл к выводу, что кроме Освальда действовал второй стрелок, который сделал один выстрел мимо цели[39][40]. В итоговом докладе Комитета отмечалось, что убийство Кеннеди было спланировано и осуществлено организованной группой, но личность второго снайпера осталась неустановленной, и кто конкретно стоял за убийством, выяснить не удалось[53]. Комитет подробно рассматривал возможность организации убийства советскими спецслужбами, кубинским правительством, антикастровскими кубинскими организациями, организованной преступностью и спецслужбами США, но не нашёл убедительных аргументов в пользу какой-либо из этих версий[54].",True
